Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2021-05-16,05:42 - 10:18 ( 50%),57,1,MOSFIRE,mosfire3,Tommaso Treu,UCLA,U020,
2021-05-16,10:18 - 14:54 ( 50%),57,1,OSIRIS-LGS,osiris6,Andrea Ghez,UCLA,U017,
2021-05-17,05:43 - 10:19 ( 50%),49,1,MOSFIRE,mosfire3,Tommaso Treu,UCLA,U020,
2021-05-17,10:19 - 14:54 ( 50%),49,1,OSIRIS-LGS,osiris7,David Bennett,NASA,N164,
2021-05-18,05:43 - 10:18 ( 50%),41,1,HIRESr,hires1,Andrew Howard,NASA,N012,
2021-05-18,10:18 - 14:53 ( 50%),41,1,OSIRIS-LGS,osiris7,David Bennett,NASA,N164,
2021-05-19,05:44 - 12:35 ( 75%),34,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-05-19,12:35 - 14:53 ( 25%),34,1,HIRESr,hires1,Katherine de Kleer,CIT,C294,
2021-05-20,05:44 - 08:00 ( 25%),26,1,HIRESr,hires1,Ian Crossfield,NASA,N136,
2021-05-20,08:00 - 14:52 ( 75%),26,1,HIRESr,hires1,Andrew Howard,NASA,N012,
2021-05-21,05:45 - 10:19 ( 50%),19,1,LRIS-ADC,lris9, Engineering,KECK,E376,
2021-05-21,10:19 - 14:52 ( 50%),19,1,OSIRIS-LGS,osiris8,Andrea Ghez,UCLA,U017,
2021-05-22,05:45 - 10:19 ( 50%),12,1,LRIS-ADC,lris1, Engineering,KECK,E376,
2021-05-22,10:19 - 14:52 ( 50%),12,1,OSIRIS-LGS,osiris8,Andrea Ghez,UCLA,U017,
2021-05-23,05:46 - 10:19 ( 50%),4,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-05-23,10:19 - 14:51 ( 50%),4,1,OSIRIS-LGS,osiris8,Andrea Ghez,UCLA,U017,
2021-05-24,05:46 - 10:19 ( 50%),0,1,LRIS-ADC,lris2, Engineering,KECK,E376,
2021-05-24,10:19 - 14:51 ( 50%),0,1,OSIRIS-LGS,osiris8,Andrea Ghez,UCLA,U017,
2021-05-25,05:47 - 10:19 ( 50%),0,1,OSIRIS-LGS,osiris9,Tommaso Treu,UCLA,U021,
2021-05-25,10:19 - 14:51 ( 50%),0,1,OSIRIS-LGS,osiris9,Andrea Ghez,UCLA,U017,
2021-05-26,05:47 - 14:50 (100%),0,1,HIRESr,hires1,Fei Dai,CIT,C252,
2021-05-27,05:48 - 14:50 (100%),9,1,OSIRIS-NGS,osiris1, Engineering,KECK,E333,
2021-05-28,05:48 - 14:50 (100%),21,1,HIRESr,hires1,Ashley Chontos,UH,H262,
2021-05-29,05:49 - 14:50 (100%),31,1,MOSFIRE,mosfire4,Hannah Earnshaw,CIT,C249,
2021-05-30,05:49 - 10:19 ( 50%),40,1,MOSFIRE,mosfire5,Tucker Jones,UCD,U023,
2021-05-30,10:19 - 14:49 ( 50%),40,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-05-31,05:50 - 14:49 (100%),48,1,HIRESr,hires1,Andrew Howard,CIT,C013,
2021-06-01,05:50 - 10:19 ( 50%),56,1,HIRESr,hires1,Philip Hinz,UCSC,U006,
2021-06-01,10:19 - 14:49 ( 50%),56,1,HIRESr,hires1,Justin Crepp,Notre Dame,D347,
2021-06-02,05:51 - 14:49 (100%),62,1,HIRESr,hires1,Ashley Chontos,UH,H262,
2021-06-03,05:51 - 14:49 (100%),68,1,LRIS-ADC,lris9,Joannes van Roestel,CIT,C229,
2021-06-04,05:51 - 14:49 (100%),74,1,LRIS-ADC,lris1,Thomas Prince,CIT,C308,
2021-06-05,05:52 - 14:49 (100%),81,1,LRIS-ADC,lris2,Vikram Ravi,CIT,C310,
2021-06-06,05:52 - 14:49 (100%),87,1,LRIS-ADC,lris3,Shri Kulkarni,CIT,C293,
2021-06-07,05:53 - 10:21 ( 50%),94,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-06-07,10:21 - 14:49 ( 50%),94,1,HIRESr,hires1,Katherine de Kleer,CIT,C294,
2021-06-08,05:53 - 14:49 (100%),100,1,HIRESr,hires1,Malena Rice,Yale(CIT),Y333,
2021-06-09,05:53 - 14:49 (100%),100,1,OSIRIS-LGS,osiris1,Anna Nierenberg,UCM,U129,
2021-06-10,05:54 - 14:49 (100%),100,1,HIRESr,hires1,Daniel Huber,UH,H270,
2021-06-11,05:54 - 14:49 (100%),91,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-06-12,05:55 - 14:49 (100%),82,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
2021-06-13,05:55 - 14:49 (100%),73,1,HIRESr,hires1,Natalie Batalha,UCSC,U111,
