,utdate,quarter,start,stop,start_jd,stop_jd,kpfcc,dark
319,2021-04-22,4,12:44,15:09,2459327.0310669597,2459327.1313788467,False,False
320,2021-04-23,1,05:31,07:55,2459327.730416143,2459327.8305205316,False,False
321,2021-04-23,2,07:55,10:20,2459327.8305205316,2459327.9306249204,False,False
322,2021-04-23,3,10:20,12:44,2459327.9306249204,2459328.030729309,False,False
323,2021-04-23,4,12:44,15:08,2459328.030729309,2459328.130833698,True,False
324,2021-04-24,1,05:32,07:56,2459328.730704441,2459328.8306015623,False,False
325,2021-04-24,2,07:56,10:19,2459328.8306015623,2459328.9304986834,False,False
326,2021-04-24,3,10:19,12:43,2459328.9304986834,2459329.030395804,True,False
327,2021-04-24,4,12:43,15:07,2459329.030395804,2459329.130292925,True,False
328,2021-04-25,1,05:32,07:56,2459329.7309962,2459329.830687065,False,False
329,2021-04-25,2,07:56,10:19,2459329.830687065,2459329.93037793,False,False
330,2021-04-25,3,10:19,12:43,2459329.93037793,2459330.030068795,False,False
331,2021-04-25,4,12:43,15:06,2459330.030068795,2459330.12975966,False,False
332,2021-04-26,1,05:33,07:56,2459330.7312914324,2459330.8307771306,False,False
333,2021-04-26,2,07:56,10:19,2459330.8307771306,2459330.9302628287,False,False
334,2021-04-26,3,10:19,12:42,2459330.9302628287,2459331.0297485264,False,False
335,2021-04-26,4,12:42,15:06,2459331.0297485264,2459331.1292342246,False,False
336,2021-04-27,1,05:33,07:56,2459331.7315901555,2459331.8308718516,False,False
337,2021-04-27,2,07:56,10:19,2459331.8308718516,2459331.9301535483,False,False
338,2021-04-27,3,10:19,12:42,2459331.9301535483,2459332.0294352444,False,False
339,2021-04-27,4,12:42,15:05,2459332.0294352444,2459332.1287169405,True,False
340,2021-04-28,1,05:33,07:56,2459332.731892383,2459332.8309713188,False,False
341,2021-04-28,2,07:56,10:19,2459332.8309713188,2459332.930050255,False,False
342,2021-04-28,3,10:19,12:41,2459332.930050255,2459333.0291291904,True,False
343,2021-04-28,4,12:41,15:04,2459333.0291291904,2459333.128208126,True,False
344,2021-04-29,1,05:34,07:56,2459333.7321981178,2459333.831075612,False,False
345,2021-04-29,2,07:56,10:19,2459333.831075612,2459333.9299531067,False,False
